栏目,节目标题,节目链接,媒体数量,爬取时间
国内经典,大浪淘沙(下),http://www.hawh.cn/content/redirect?id=108096520365118948,0,
国内经典,大浪淘沙(上),http://www.hawh.cn/content/redirect?id=108092165722205283,0,
国内经典,黄河绝恋(下),http://www.hawh.cn/content/redirect?id=108091331026198804,0,
国内经典,黄河绝恋(上),http://www.hawh.cn/content/redirect?id=108091307830871046,0,
国内经典,吉鸿昌(下),http://www.hawh.cn/content/redirect?id=108093980300338046,0,
国内经典,吉鸿昌(上),http://www.hawh.cn/content/redirect?id=108096058342013356,0,
国内经典,烈火中永生(下),http://www.hawh.cn/content/redirect?id=108092453275641346,0,
国内经典,烈火中永生(上),http://www.hawh.cn/content/redirect?id=108098936260061137,0,
国内经典,渡江侦察记(下),http://www.hawh.cn/content/redirect?id=108096306538041602,0,
国内经典,渡江侦察记(上),http://www.hawh.cn/content/redirect?id=108093614582776258,0,
国内经典,刑场上的婚礼(下),http://www.hawh.cn/content/redirect?id=108099165715127615,0,
国内经典,刑场上的婚礼(上),http://www.hawh.cn/content/redirect?id=108095333587515505,0,
国内经典,地道战,http://www.hawh.cn/content/redirect?id=108097573689557336,0,
国内经典,秘密图纸,http://www.hawh.cn/content/redirect?id=108092057265805182,0,
国内经典,永不消逝的电波(下),http://www.hawh.cn/content/redirect?id=108096298334774840,0,
国内经典,永不消逝的电波(上),http://www.hawh.cn/content/redirect?id=108094860119646045,0,
国内经典,骆驼祥子（下）,http://www.hawh.cn/content/redirect?id=108099435433422567,0,
国内经典,骆驼祥子（中）,http://www.hawh.cn/content/redirect?id=108099990418646009,0,
国内经典,骆驼祥子（上）,http://www.hawh.cn/content/redirect?id=108098631771432058,0,
国内经典,周君恩来(下),http://www.hawh.cn/content/redirect?id=108096179019114802,0,
国内经典,周君恩来(上),http://www.hawh.cn/content/redirect?id=108094141970545294,0,
国内经典,敌后武工队(4),http://www.hawh.cn/content/redirect?id=108098021202965225,0,
国内经典,敌后武工队(3),http://www.hawh.cn/content/redirect?id=108098026681196918,0,
国内经典,敌后武工队(1),http://www.hawh.cn/content/redirect?id=108091787041496972,0,
国内经典,敌后武工队(2),http://www.hawh.cn/content/redirect?id=108099471559392928,0,
国内经典,小花（下）,http://www.hawh.cn/content/redirect?id=108099770914007532,0,
